日期,期号,红球,蓝球
2025-08-20,25095,"[7, 13, 14, 19, 27]","[6, 10]"
2025-08-18,25094,"[4, 9, 17, 30, 33]","[5, 9]"
2025-08-16,25093,"[1, 7, 9, 16, 30]","[2, 5]"
2025-08-13,25092,"[4, 10, 17, 25, 32]","[5, 7]"
2025-08-11,25091,"[1, 19, 22, 25, 27]","[3, 10]"
2025-08-09,25090,"[6, 14, 19, 22, 27]","[1, 4]"
2025-08-06,25089,"[2, 11, 12, 32, 34]","[3, 10]"
2025-08-04,25088,"[8, 9, 10, 11, 35]","[5, 11]"
2025-08-02,25087,"[5, 13, 14, 16, 20]","[3, 8]"
2025-07-30,25086,"[2, 6, 23, 24, 33]","[1, 10]"
2025-07-28,25085,"[2, 5, 9, 14, 33]","[4, 9]"
2025-07-26,25084,"[9, 11, 13, 18, 29]","[4, 11]"
2025-07-23,25083,"[12, 17, 18, 20, 34]","[2, 5]"
2025-07-21,25082,"[2, 3, 4, 12, 26]","[1, 8]"
2025-07-19,25081,"[1, 4, 6, 15, 18]","[2, 3]"
2025-07-16,25080,"[9, 10, 18, 22, 24]","[3, 12]"
2025-07-14,25079,"[2, 14, 32, 34, 35]","[5, 11]"
2025-07-12,25078,"[7, 10, 15, 21, 24]","[5, 6]"
2025-07-09,25077,"[12, 14, 16, 19, 28]","[1, 4]"
2025-07-07,25076,"[11, 18, 22, 25, 29]","[4, 12]"
2025-07-05,25075,"[8, 12, 16, 19, 35]","[6, 9]"
2025-07-02,25074,"[2, 11, 15, 18, 21]","[5, 10]"
2025-06-30,25073,"[1, 4, 17, 33, 34]","[3, 9]"
2025-06-28,25072,"[4, 7, 15, 24, 29]","[1, 4]"
2025-06-25,25071,"[1, 8, 25, 31, 33]","[5, 11]"
2025-06-23,25070,"[8, 9, 15, 20, 22]","[4, 12]"
2025-06-21,25069,"[4, 6, 7, 33, 34]","[9, 10]"
2025-06-18,25068,"[1, 4, 17, 20, 22]","[4, 10]"
2025-06-16,25067,"[6, 10, 12, 21, 22]","[1, 6]"
2025-06-14,25066,"[15, 18, 27, 28, 34]","[3, 6]"
